user_id,Gender,Height_inch,Weight_lb,height_mtr,weight_kgs,BMI,age,activity,BMR,calories_per_day
4053950,Male,73.84701702,241.8935632,1.8757142323079998,109.72098511901439,31.185761327418263,22,5,2392.955967718,4546.6163386642
4053953,Male,68.78190405,162.3104725,1.7470603628699999,73.62273184222,24.121044346952747,20,3,1839.8425389949998,2851.7559354422497
4203397,Male,74.11010539,212.74085559999997,1.8823966769059999,96.49755017331519,27.232906368667983,21,4,2219.4877498109995,3828.6163684239746
1080905,Male,71.73097840000001,220.04247030000002,1.8219668513600003,99.8095041883176,30.067059414376416,32,4,2159.9971842500004,3725.9951428312506
439013,Male,69.88179586,206.3498006,1.7749976148439999,93.5986187537552,29.70803262861298,38,4,2009.0789103739999,3465.6611203951497
581601,Male,67.25301569,152.21215580000003,1.708226598526,69.04221617363362,23.66049157884428,24,1,1729.300483941,2075.1605807292
243521,Male,68.78508125,183.9278886,1.74714106375,83.42821884585119,27.331094843100075,33,1,1887.6732463049998,2265.2078955659995
1052065,Male,68.34851551,167.9711105,1.736052293954,76.19035195391601,25.279843076401384,30,4,1801.9138462290002,3108.3013847450256
2919836,Male,67.01894966,175.9294404,1.702281321364,79.8001867299168,27.538560817733536,37,1,1787.2999251340002,2144.7599101608002
978804,Male,63.45649398,156.3996764,1.6117949470919999,70.9416420176288,27.307482031648583,40,4,1597.906733662,2756.3891155669503
881194,Male,71.19538228,186.6049256,1.808362709912,84.6425014127552,25.883166355878036,26,2,1983.231462692,2726.9432612015
2325193,Male,71.64080512,213.74116949999998,1.8196764500479998,96.951284555844,29.27960533781035,36,1,2091.935753898,2510.3229046775996
1303976,Male,64.76632913,167.1274611,1.645064759902,75.8076793352712,28.01219905081787,28,1,1763.988650707,2116.7863808484
3844545,Male,69.28307009999999,189.4461814,1.7597899805399997,85.9312723135888,27.747864221209984,18,1,2030.86254711,2437.035056532
3408050,Male,69.24373223,186.434168,1.7587907986420002,84.565047131456,27.337734758069583,38,5,1875.3794041669998,3563.2208679172995
1073113,Male,67.6456197,172.18693009999998,1.7181987403799999,78.10261399791919,26.455670737432353,18,4,1901.0061537599997,3279.235615236
1412007,Male,72.41831663,196.0285063,1.8394252424020001,88.9169622296296,26.279695753166397,39,2,1969.975874217,2708.716827048375
3480984,Male,63.97432572,172.88347019999998,1.624947873288,78.41855901495839,29.69887442346059,31,1,1769.6346640479999,2123.5615968576
1164792,Male,69.64005990000001,185.9839576,1.7688575214600002,84.3608352956992,26.962190074524734,34,2,1904.8557055900003,2619.1765951862503
2064799,Male,67.93600485,182.426648,1.72557452319,82.747268119616,27.789851390308012,32,4,1874.0623449650002,3232.7575450646254
2662342,Male,67.91505019,174.1159291,1.725042274826,78.97759251232719,26.54021310612775,35,2,1801.034500781,2476.422438573875
245823,Male,69.43943987,197.7314216,1.763761772698,89.6893909863872,28.831100759143425,29,2,2010.276730403,2764.130504304125
1341797,Male,66.14913196,149.173566,1.6801879517840002,67.663936149072,23.968536968527232,39,2,1593.917268084,2191.6362436155
